fold,half_life_days,l2,alpha,beta,fund_loss,fit_seconds,log_loss_per_race,brier_score_per_race,ece_10bin,hit_rate_top1,hit_rate_top3,favorite_hit_rate,roi_edge20,n_bets_edge20,roi_edge30,n_bets_edge30,roi_edge40,n_bets_edge40,roi_edge50,n_bets_edge50,kelly_final_bankroll,kelly_pnl_pct,kelly_n_bets
fold1_val2024,547.875,0.01,0.15867785875668405,1.0538784408692163,7120.827387967068,6.177560399984941,1.631610298502069,0.7451869604692702,0.005552561770509049,0.38057324840764334,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,0.01,-0.02774571512616445,1.0913179446429946,7303.757658878739,5.769778499961831,1.6384887690719816,0.7492295557272114,0.0062557710143442795,0.3682572614107884,0.7271784232365145,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,0.01,0.020795266921573165,1.0272911092294998,7498.992961608503,4.12293780001346,1.7079249936449088,0.7736736075521671,0.006097860712461158,0.33089579524680074,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,0.01,-0.026389208544686342,1.0431724077829179,7694.198499819806,4.139219100004993,1.610571224823264,0.7510432556688823,0.0033191457594203607,0.3629242819843342,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,0.1,0.158862927340941,1.0538393304645002,7120.888203895838,6.068042800063267,1.6316074849128228,0.7451856197839715,0.005620981467725064,0.38057324840764334,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,0.1,-0.02776104025262132,1.0913243718604841,7303.801382221456,5.822688900050707,1.6384886861020878,0.7492295494979707,0.006255697400829869,0.3682572614107884,0.7271784232365145,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,0.1,0.018823738240090926,1.0278144190309797,7499.272917419246,3.90052529994864,1.7079317331312367,0.7736747385621578,0.00591012879697926,0.33089579524680074,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,0.1,-0.024784770341784775,1.0427078686728655,7694.459818977814,3.7878672999795526,1.6105765697851746,0.7510350644124907,0.003910629691944095,0.3629242819843342,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,1.0,0.16001046695372348,1.0535717325885432,7121.509156750339,5.829435899970122,1.631580496490924,0.7451817294044695,0.0055003866074534195,0.38004246284501064,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,1.0,-0.027928597512157136,1.0913721073812328,7304.228743095588,5.660309899947606,1.6384879880111227,0.7492295488186158,0.006255621740843637,0.3682572614107884,0.7276970954356846,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,1.0,0.016783330403174444,1.028395853272677,7500.279263107408,3.7671305999392644,1.7079384838506342,0.7736784195111291,0.005815128024872505,0.3327239488117002,0.7056672760511883,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,1.0,-0.025219345006223547,1.0428494439566902,7695.995991788419,3.6066531999967992,1.610575679104185,0.7510350124065513,0.0044876671658536345,0.3629242819843342,0.7493472584856397,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,730.5,0.001,0.1577503134517101,1.0542094937457456,8790.307823787247,6.410857899929397,1.6316104444256785,0.7451922668361308,0.005810019054894658,0.38110403397027603,0.7340764331210191,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,730.5,0.001,-0.025649044439135738,1.090650149418436,9199.750045496074,5.62882699992042,1.638499568090165,0.7492278622318798,0.006379901066990334,0.3682572614107884,0.7271784232365145,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
