race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,_shipper,_corpus_cov
5,11,8,Feeling Enchanted,0.1592,0.0508,0.8315789473684211,30/1,81.0,"{'pos': [('blinkers change', 0.14236688384646695)], 'neg': [('finish placement (last race)', -0.1611958551065914), ('speed figure last race', -0.1426657991010717), ('jockey win% on surface', -0.11767969114941629)]}",False,0.7789473684210526
5,12,11,Twister City,0.1391,0.045,0.8526315789473684,30/1,85.7,"{'pos': [('blinkers change', 0.14236688384646695), ('finish placement (last race)', 0.11513989908323372), ('speed figure last race', 0.09689588306110927)], 'neg': [('last race field size', -0.1389603214458822), ('purse change vs last', -0.1369997588787769), ('class rating change vs last', -0.11648442732382021)]}",False,0.8210526315789474
6,1,6,Improbable Dream,0.46499999999999997,0.1709,0.6421052631578947,15/1,95.9,"{'pos': [('jockey win% on surface', 0.31963116868577407), ('closeness to winner (last race)', 0.21676925643899697), ('finish placement (last race)', 0.09671751464330176)], 'neg': [('last race was maiden', -0.12997769490785493), ('no data: finish placement (last race)', -0.10860123259953845), ('no data: won last race', -0.10860123259953845)]}",True,0.47368421052631576
6,2,4,Mi Gamble,0.363,0.1227,0.7578947368421053,15/1,95.3,"{'pos': [('blinkers change', 0.17084026061576033), ('speed figure last race', 0.11726659489245028), ('finish placement (last race)', 0.09671751464330176)], 'neg': [('last race field size', -0.14293061812252394), ('closeness to winner (last race)', -0.11276120205294159), ('jockey win% on surface', -0.06516827125183414)]}",False,0.7473684210526316
6,3,7,Saint Shance,0.36219999999999997,0.1144,0.9052631578947369,2/1,116.3,"{'pos': [('trainer win% on surface', 0.1922834761929609), ('jockey win% on surface', 0.16689725529774535), ('trainer win% at track', 0.1321058574765735)], 'neg': [('finish placement (last race)', -0.3177861143852261), ('class rating change vs last', -0.11173155115002043), ('avg finish placement (last 3)', -0.10238780626116437)]}",False,0.8526315789473684
6,4,1,Awegod,0.3079,0.104,0.8947368421052632,8/1,101.0,"{'pos': [('blinkers change', 0.17084026061576033), ('closeness to winner (last race)', 0.13438663646749427), ('post position', 0.11460131488645496)], 'neg': [('finish placement (last race)', -0.3177861143852261), ('class rating change vs last', -0.11640650519236934), ('no data: trainer win% off layoff', -0.09370159575543895)]}",False,0.8736842105263158
6,5,2,Gil the Trail Boss,0.3074,0.1018,0.5684210526315789,10/1,94.6,"{'pos': [('finish placement (last race)', 0.09671751464330176), ('last race field size', 0.09528707996867439), ('post position', 0.0891343576528069)], 'neg': [('last race was maiden', -0.12997769490785493), ('no data: finish placement (last race)', -0.10860123259953845), ('no data: won last race', -0.10860123259953845)]}",True,0.5157894736842106
6,6,9,Let Da Blood Talk,0.2827,0.0909,0.5263157894736842,15/1,114.2,"{'pos': [('finish placement (last race)', 0.09671751464330176), ('last race field size', 0.09528707996867439), ('pace type last race    MISSING = ', 0.0854704038872365)], 'neg': [('last race was maiden', -0.12997769490785493), ('no data: finish placement (last race)', -0.10860123259953845), ('no data: won last race', -0.10860123259953845)]}",True,0.47368421052631576
6,7,8,Zaptastic,0.2555,0.084,0.8947368421052632,12/1,94.7,"{'pos': [('finish placement (last race)', 0.3730532598082873), ('career win%', 0.1503182797874482), ('speed figure last race', 0.09070765175526621)], 'neg': [('last race field size', -0.14293061812252394), ('starts at this track', -0.12628491754026064), ('career starts', -0.12380672227313605)]}",False,0.8947368421052632
6,8,10,Honorary American,0.22410000000000002,0.0732,0.5368421052631579,7/5,114.2,"{'pos': [('blinkers change', 0.17084026061576033), ('finish placement (last race)', 0.09671751464330176), ('last race field size', 0.09528707996867439)], 'neg': [('first-time blinkers', -0.23820944521731519), ('last race was maiden', -0.12997769490785493), ('post position', -0.11460131507215214)]}",True,0.4105263157894737
