race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,actual
4,6,2,Macchiato,0.2766,0.0861,0.5052631578947369,,,"{'pos': [('purse change vs last', 0.12994701812396067), ('finish placement (last race)', 0.10746390515922419), ('pace type last race    MISSING = ', 0.07913926285855231)], 'neg': [('no data: won last race', -0.10055669685142449), ('no data: finish placement (last race)', -0.10055669685142449), ('last race was maiden', -0.09627977400581847)]}",7
4,7,7,El Tio,0.1737,0.049,0.8526315789473684,,,"{'pos': [('purse change vs last', 0.12994701812396067), ('last race was maiden', 0.12034971750727308), ('last race field size', 0.09705165776091251)], 'neg': [('finish placement (last race)', -0.44520759870800625), ('speed figure last race', -0.13589326556139827), ('avg finish placement (last 3)', -0.13400449651341864)]}",2
4,8,9,Unconnected,0.1729,0.0516,0.5052631578947369,,,"{'pos': [('purse change vs last', 0.12994701812396067), ('finish placement (last race)', 0.10746390515922419), ('pace type last race    MISSING = ', 0.07913926285855231)], 'neg': [('jockey win% on surface', -0.1853842315124094), ('weight (lbs)', -0.13248590598282095), ('no data: won last race', -0.10055669685142449)]}",9
4,9,5,Differential,0.0748,0.0187,0.9368421052631579,,,"{'pos': [('trainer win% on surface', 0.21363056267811975), ('jockey win% on surface', 0.19982918899840058), ('closeness to winner (last race)', 0.11384820081890391)], 'neg': [('purse change vs last', -1.0395761449916856), ('finish placement (last race)', -0.583375473546709), ('days since last (recency)', -0.30152715713094647)]}",6
5,1,1,Got Gone,0.5131,0.1877,0.9157894736842105,,,"{'pos': [('finish placement (last race)', 0.4490455915336263), ('speed figure last race', 0.13213074644914496), ('avg finish placement (last 3)', 0.1107107432847995)], 'neg': [('won last race', -0.19339427422170208), ('career win%', -0.13994732465804988), ('jockey win% on surface', -0.09097272210966512)]}",3
5,2,7,Modern Sound,0.47469999999999996,0.1609,0.9052631578947369,,,"{'pos': [('trainer home = GP', 0.2049428121826225), ('finish placement (last race)', 0.17270984185622093), ('jockey win% on surface', 0.0802990986741012)], 'neg': [('trainer starts at other tracks', -0.1525528251854938), ('closer last race', -0.06282742757776827), ('purse change vs last', -0.0575890569517278)]}",4
5,3,3,Lady Lithesome,0.40359999999999996,0.1306,0.5052631578947369,,,"{'pos': [('jockey win% on surface', 0.12742855846720053), ('pace type last race    MISSING = ', 0.10683800485904563), ('trainer home = MNR', 0.07936881898246818)], 'neg': [('no data: won last race', -0.13575154074942306), ('no data: finish placement (last race)', -0.13575154074942306), ('no data: closeness to winner (last race)', -0.07447692293334457)]}",7
5,4,4,Kittens Stormy Gal,0.3749,0.1254,0.8736842105263158,,,"{'pos': [('last race field size', 0.19851476091766412), ('purse change vs last', 0.11296640070685533), ('speed figure last race', 0.08432464601243944)], 'neg': [('finish placement (last race)', -0.3799616574985898), ('jockey win% on surface', -0.12490282114127421), ('career ITM%', -0.10254173616078717)]}",1
5,5,2,Ashesand Diamonds,0.3589,0.1158,0.8736842105263158,,,"{'pos': [('finish placement (last race)', 0.17270984185622093), ('trainer home = MNR', 0.07936881898246818), ('post position', 0.06366739853897488)], 'neg': [('moving up in class', -0.07403600567780871), ('no data: trainer win% rising class', -0.0635739514620211), ('closer last race', -0.06282742757776827)]}",6
5,6,5,Storm Cloud Rising,0.35860000000000003,0.1175,0.9368421052631579,,,"{'pos': [('purse change vs last', 0.119734475817853), ('class rating change vs last', 0.08473365491970722), ('avg finish placement (last 3)', 0.05417759414943593)], 'neg': [('trainer home = MNR', -0.23810645694740457), ('last race field size', -0.11910885362181825), ('career win%', -0.11102832247618255)]}",5
5,7,10,Speed Skater,0.2969,0.0933,0.5263157894736842,,,"{'pos': [('pace type last race    MISSING = ', 0.10683800485904563), ('closer last race', 0.06282742757776827), ('no data: avg finish placement (last 3)', 0.05905130841872622)], 'neg': [('trainer home = MNR', -0.23810645694740457), ('no data: won last race', -0.13575154074942306), ('no data: finish placement (last race)', -0.13575154074942306)]}",8
5,8,8,Hold My Halo,0.2193,0.0688,0.9052631578947369,,,"{'pos': [('last race was maiden', 0.18955080507395508), ('trainer home = MNR', 0.07936881898246818), ('trouble in last trip', 0.06631155798923404)], 'neg': [('finish placement (last race)', -0.5181295323372924), ('speed figure last race', -0.18082214583884337), ('days since last (recency)', -0.14461222617442365)]}",2
6,1,4,Pimlott,0.6705000000000001,0.2644,0.9157894736842105,,,"{'pos': [('finish placement (last race)', 0.5724097665442797), ('trainer home = GP', 0.16730025484295713), ('speed figure last race', 0.14620066415791488)], 'neg': [('won last race', -0.18944745229881021), ('career win%', -0.15049685967561602), ('closeness to winner (last race)', -0.14637625463005488)]}",5
6,2,2,Tre Italiani,0.5168999999999999,0.1721,0.8736842105263158,,,"{'pos': [('trainer home = GP', 0.16730025484295713), ('finish placement (last race)', 0.15790614654059143), ('speed figure last race', 0.10503430299272311)], 'neg': [('closeness to winner (last race)', -0.1360784295107362), ('last race field size', -0.10209330231992095), ('last race was maiden', -0.09284121064846781)]}",2
6,3,1,Penalty Box,0.45899999999999996,0.1473,0.8526315789473684,,,"{'pos': [('speed figure last race', 0.17541550021393026), ('post position', 0.07640087581281035), ('purse change vs last', 0.06624759045531688)], 'neg': [('last race was maiden', -0.09284121064846781), ('trainer win% on surface', -0.07894903835667429), ('trainer home = GP', -0.06692010193718285)]}",3
6,4,6,Admiral Hall,0.4096,0.1286,0.8842105263157894,,,"{'pos': [('finish placement (last race)', 0.43424189170557703), ('speed figure last race', 0.14487271769849921), ('avg finish placement (last 3)', 0.12921861979670213)], 'neg': [('purse change vs last', -0.30410142623777253), ('last race field size', -0.18149920412430393), ('closeness to winner (last race)', -0.13092951576251727)]}",6
6,5,5,Ezum,0.3573,0.1116,0.8842105263157894,,,"{'pos': [('closeness to winner (last race)', 0.5693227302240643), ('last race field size', 0.13612440309322793), ('trainer win% on surface', 0.12806721080750244)], 'neg': [('speed figure last race', -0.6032042108880725), ('finish placement (last race)', -0.5329332321653417), ('avg finish placement (last 3)', -0.134602729615855)]}",7
6,6,3,Chillax,0.32420000000000004,0.0987,0.8736842105263158,,,"{'pos': [('last race was maiden', 0.12378828086462373), ('shipping in today', 0.09115196019250502), ('trouble in last trip', 0.06315386475165145)], 'neg': [('finish placement (last race)', -0.394765357326639), ('closeness to winner (last race)', -0.12063168945463901), ('no data: closeness to winner (last race)', -0.0851164833523938)]}",4
6,7,7,Vintage Cowboy,0.26249999999999996,0.0773,0.8526315789473684,,,"{'pos': [('purse change vs last', 0.06624759045531688), ('last race field size', 0.056718501288844966), ('moving up in class', 0.05640838527833044)], 'neg': [('finish placement (last race)', -0.25659748248793635), ('jockey win% on surface', -0.10236031369129558), ('last race was maiden', -0.09284121064846781)]}",1
7,1,4,Michael's Cove,0.6148,0.2349,0.9052631578947369,,,"{'pos': [('finish placement (last race)', 0.3799616535502225), ('last race field size', 0.09925737542499109), ('avg finish placement (last 3)', 0.08951081533334455)], 'neg': [('trainer home = GP', -0.0878326337925525), ('mid-pack last race', -0.056298337764096124)]}",1
7,2,1,The Dover Specter,0.4468,0.1557,0.9368421052631579,,,"{'pos': [('last race was maiden', 0.18955080507395508), ('last race field size', 0.17866328455132457), ('trainer home = GP', 0.1463877229875875)], 'neg': [('career ITM%', -0.12263157915720249), ('closer last race', -0.10994799826109447), ('last race (days ago)', -0.09130330396735134)]}",5
7,3,11,Professor Higgins,0.371,0.1213,0.8947368421052632,,,"{'pos': [('purse change vs last', 0.11558732353630602), ('speed figure last race', 0.10640177936913195), ('class rating change vs last', 0.07947432418647943)], 'neg': [('finish placement (last race)', -0.17270984580458823), ('post position', -0.08913435971868805), ('trainer home = GP', -0.0878326337925525)]}",6
7,4,10,Equilibrium,0.3471,0.1107,0.5263157894736842,,,"{'pos': [('trainer home = GP', 0.1463877229875875), ('pace type last race    MISSING = ', 0.10683800485904563), ('finish placement (last race)', 0.1036259083852369)], 'neg': [('no data: won last race', -0.13575154074942306), ('no data: finish placement (last race)', -0.13575154074942306), ('speed figure last race', -0.08880647221759028)]}",7
7,5,6,Kicking Clear,0.3325,0.1029,0.8315789473684211,,,"{'pos': [('purse change vs last', 0.11558732353630602), ('last race field size', 0.09925737542499109), ('class rating change vs last', 0.07947432418647943)], 'neg': [('finish placement (last race)', -0.3108777206432909), ('speed figure last race', -0.08880647221759028), ('trainer home = GP', -0.0878326337925525)]}",4
