race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons
4,3,2,The Wine Steward,0.4438,0.1426,0.8842105263157894,,,"{'pos': [('purse change vs last', 0.3516731220794036), ('jockey home = GP', 0.23231131400768978), ('finish position last race', 0.15851675438906815)], 'neg': [('career ITM%', -0.25978579597249396), ('last race (days ago)', -0.19599173643689016), ('days since last race', -0.19599173643689016)]}"
4,4,5,Play It Loud,0.4294,0.1384,0.8631578947368421,,,"{'pos': [('speed figure last race', 0.19137112683513152), ('won last race', 0.09015303238040655), ('no data: trainer win% off layoff', 0.06684926958847717)], 'neg': [('jockey win% on surface', -0.1837580767188745), ('finish position last race', -0.11888756579180107), ('last race field size', -0.087965823470574)]}"
4,5,6,Hammer,0.3578,0.114,0.9157894736842105,,,"{'pos': [('career ITM%', 0.15386633445972248), ('pace progression last race', 0.10196689254999666), ('won last race', 0.09015303238040655)], 'neg': [('speed figure last race', -0.12695840493575453), ('closer last race', -0.11908551487965124), ('finish position last race', -0.11888756579180107)]}"
4,6,1,Dorado,0.32489999999999997,0.0948,0.9052631578947369,,,"{'pos': [('career win%', 0.1217830491708787), ('won last race', 0.09015303238040655), ('post position', 0.07331004964941165)], 'neg': [('starts at this track', -0.12114148323695423), ('finish position last race', -0.11888756579180107), ('jockey win% on surface', -0.10143329211268676)]}"
4,7,3,Midnight Show,0.2743,0.0826,0.8736842105263158,,,"{'pos': [('finish position last race', 0.15851675438906815), ('last race field size', 0.14294446490929857), ('career win% on surface', 0.13661811381277944)], 'neg': [('purse change vs last', -0.31443428260282524), ('career win%', -0.2043800886165058), ('jockey home = MNR', -0.20354064756780577)]}"
5,1,4,Coach Siggy,0.7055,0.3011,0.9052631578947369,,,"{'pos': [('beaten lengths last race', 0.30248190626836907), ('purse change vs last', 0.15314777016060882), ('jockey win% on surface', 0.14717142659012555)], 'neg': [('speed figure last race', -0.12592116446906298), ('last race field size', -0.09407456534068975), ('trainer win% at other tracks', -0.09290711818868662)]}"
5,2,6,Justa Wizard,0.42879999999999996,0.1348,0.8526315789473684,,,"{'pos': [('finish position last race', 0.3236383836826085), ('speed figure last race', 0.1331299909166134), ('career win% on surface', 0.09050140461881218)], 'neg': [('career win%', -0.13387777141636376), ('closer last race', -0.09262206712861762), ('beaten lengths last race', -0.057985660788243826)]}"
5,3,7,Rum N Coke,0.3483,0.1086,0.8421052631578947,,,"{'pos': [('career ITM%', 0.06809016199349609), ('speed figure last race', 0.06311616933477748), ('jockey home = CT', 0.06014213612430789)], 'neg': [('jockey win% on surface', -0.11266963510266245)]}"
5,4,9,Gimmethatsugar,0.3123,0.0955,0.8947368421052632,,,"{'pos': [('career ITM%', 0.07581869291837735), ('speed figure last race', 0.07245134357325927)], 'neg': [('post position', -0.0977467347984796), ('finish position last race', -0.0924681057131303)]}"
5,5,2,Swift Waters,0.2955,0.0888,0.8526315789473684,,,"{'pos': [('finish position last race', 0.1849362235921739), ('career win%', 0.12411986435189049), ('trouble in last trip', 0.07908673867156396)], 'neg': [('closer last race', -0.09262206712861762), ('career win% on surface', -0.0839050565619697), ('avg finish (last 3)', -0.0704450805725721)]}"
5,6,1,Annapolis Road,0.2933,0.0911,0.8736842105263158,,,"{'pos': [('post position', 0.09774673362211596), ('jockey win% on surface', 0.07191049310757433), ('jockey win% (90d)', 0.06834463071317082)], 'neg': [('finish position last race', -0.0924681057131303), ('no data: trainer win% off layoff', -0.09098928360653838)]}"
5,7,8,Youthful Energy,0.2559,0.0802,0.8736842105263158,,,"{'pos': [('jockey home = CT', 0.06014213612430789), ('last race field size', 0.05986562927204644), ('avg finish (last 3)', 0.0592379130278093)], 'neg': [('no data: trainer win% off layoff', -0.09098928360653838), ('post position', -0.07331005301045061), ('jockey win% on surface', -0.07215204457696546)]}"
5,8,5,Felicias Cinco,0.2429,0.0684,0.8526315789473684,,,"{'pos': [('career win%', 0.10196713829448927), ('trouble in last trip', 0.07908673867156396), ('last race field size', 0.05986562927204644)], 'neg': [('closer last race', -0.09262206712861762), ('finish position last race', -0.0924681057131303), ('beaten lengths last race', -0.0741260034206297)]}"
5,9,3,John's Notion,0.11750000000000001,0.0315,0.8631578947368421,,,"{'pos': [], 'neg': [('finish position last race', -0.36987245326730445), ('blinkers change', -0.20517740062131384), ('career ITM%', -0.16376581731339293)]}"
6,1,3,Maggie's Girl,0.5781000000000001,0.2026,0.8210526315789474,,,"{'pos': [('finish position last race', 0.34675540706941277), ('career win% on surface', 0.282802620106761), ('career ITM%', 0.2779641341706145)], 'neg': [('career win%', -0.42648593788216543), ('blinkers change', -0.17311843177423356), ('won last race', -0.1314731722214262)]}"
