race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
4,5,7,Langleyswaterfall,0.3483,0.1125,0.9263157894736842,5/1,113.1,"{'pos': [('finish placement (last race)', 0.22452279604883937), ('career ITM%', 0.1128215954773712)], 'neg': [('won last race', -0.13813876730121577), ('closeness to winner (last race)', -0.07465924459493604), ('post position', -0.0636673950571527)]}",False,0.9263157894736842,4.0
4,6,2,Forever Hustlin,0.3154,0.0957,0.9157894736842105,15/1,108.3,"{'pos': [('speed figure last race', 0.14105012826430913), ('won last race', 0.08288326038072946), ('pace progression last race', 0.07380853755582129)], 'neg': [('finish placement (last race)', -0.1899808239548489), ('closer last race', -0.10994799826109447), ('career ITM%', -0.06913778260828081)]}",False,0.9157894736842105,7.0
4,7,8,Yesto Love,0.2737,0.0866,0.9368421052631579,10/1,112.0,"{'pos': [('career win%', 0.1150280193024572), ('speed figure last race', 0.08350574914226516), ('won last race', 0.08288326038072946)], 'neg': [('jockey win% on surface', -0.15019879500235844), ('starts at this track', -0.12118249344055348), ('career starts', -0.12004623785252438)]}",False,0.9368421052631579,3.0
4,8,4,Slow No Mo,0.1599,0.0457,0.9157894736842105,30/1,103.6,"{'pos': [('closeness to winner (last race)', 0.21367991104260858), ('career win%', 0.1267333323088953), ('won last race', 0.08288326038072946)], 'neg': [('finish placement (last race)', -0.466316578144674), ('career ITM%', -0.2662604241166823), ('speed figure last race', -0.18615606904035342)]}",False,0.8947368421052632,5.0
5,1,10,Knight Sage,0.6397,0.2433,0.9263157894736842,6/5,111.5,"{'pos': [('finish placement (last race)', 0.37996165467832743), ('career ITM%', 0.27461784544056755), ('avg finish placement (last 3)', 0.12562921349845907)], 'neg': [('closer last race', -0.0942411413666524), ('blinkers change', -0.09152156818701447), ('post position', -0.0636673950571527)]}",False,0.9263157894736842,1.0
5,2,7,Goldeck,0.5837,0.2091,0.8842105263157894,7/2,100.9,"{'pos': [('trainer win% on surface', 0.24828695406716775), ('trainer win% at track', 0.16872226861294118), ('trainer win% (1yr)', 0.1680346460019038)], 'neg': [('first-time blinkers', -0.1985078710144293), ('career ITM%', -0.057979923381661996), ('no data: distance specialist', -0.055255824878684204)]}",False,0.8736842105263158,4.0
5,3,9,Brother Moses,0.4587,0.148,0.8947368421052632,10/1,98.7,"{'pos': [('finish placement (last race)', 0.24179377983962475), ('career ITM%', 0.09378405485044247), ('speed figure last race', 0.070724259457514)], 'neg': [('blinkers change', -0.09152156818701447)]}",False,0.8421052631578947,2.0
5,4,1,Untangled,0.4165,0.1387,0.8842105263157894,10/1,100.6,"{'pos': [('finish placement (last race)', 0.10362590951334186), ('post position', 0.08913435577262294), ('first-time blinkers', 0.0661692903381431)], 'neg': [('blinkers change', -0.09152156818701447)]}",False,0.8631578947368421,3.0
5,5,3,Revision,0.3232,0.0982,0.8842105263157894,20/1,95.7,"{'pos': [('blinkers change', 0.15253594697835743), ('jockey win% on surface', 0.12514180248470347), ('last race field size', 0.11910885179133063)], 'neg': [('finish placement (last race)', -0.31087771951518595), ('first-time blinkers', -0.1985078710144293), ('weight (lbs)', -0.08816843614514078)]}",False,0.8736842105263158,5.0
5,6,8,Feeling Enchanted,0.2439,0.0687,0.8842105263157894,30/1,81.0,"{'pos': [('blinkers change', 0.15253594697835743), ('first-time blinkers', 0.0661692903381431)], 'neg': [('finish placement (last race)', -0.17270984467648326), ('speed figure last race', -0.17060802263351146), ('jockey win% on surface', -0.10381849612906087)]}",False,0.8421052631578947,7.0
