race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,_cc_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
2,4,1,Culminate,0.44639999999999996,0.42269999999999996,0.1379,0.9473684210526315,0.1220134701541642,-0.19446770106712324,,,"{'pos': [('finish placement (last race)', 0.19738267705174106), ('last race field size', 0.13612440204723497), ('post position', 0.07640087581281035)], 'neg': [('purse change vs last', -0.19824593714930028), ('won last race', -0.15787287691567517), ('career ITM%', -0.11567434547147376)]}",False,0.9473684210526315,3.0
2,5,7,El Pacho,0.4295,0.4304,0.1377,0.9157894736842105,0.07919952787508011,-0.24653855976810563,,,"{'pos': [('purse change vs last', 0.10222773631287546), ('class rating change vs last', 0.08281358151825656), ('moving up in class', 0.07051048159791305)], 'neg': [('career ITM%', -0.10353046053403422), ('post position', -0.07640087501696528), ('trainer win% on surface', -0.06684608293155057)]}",False,0.9157894736842105,4.0
2,6,5,Directthe Show,0.2251,0.22700000000000004,0.0642,0.9157894736842105,-0.05030185884730898,-0.12132306491664124,,,"{'pos': [('purse change vs last', 0.10222773631287546), ('class rating change vs last', 0.08281358151825656), ('moving up in class', 0.07051048159791305)], 'neg': [('finish placement (last race)', -0.21712094295194717), ('jockey win% on surface', -0.18578569262083172), ('career ITM%', -0.16594185540822845)]}",False,0.9157894736842105,6.0
2,7,4,Juba's Heart,0.2016,0.2252,0.0548,0.9157894736842105,-0.09945004476588482,-0.1944677010671232,,,"{'pos': [('won last race', 0.06314915076627009), ('career ITM%', 0.058257393388667804), ('last race field size', 0.05671850024285202)], 'neg': [('finish placement (last race)', -0.21712094295194717), ('purse change vs last', -0.14968376763071972), ('weight (lbs)', -0.08636908347893629)]}",False,0.9157894736842105,6.0
3,1,3,Stettie Hayesen,0.7166,0.6808,0.2924,0.9052631578947369,-0.07258017661743954,0.024582008914342757,,,"{'pos': [('finish placement (last race)', 0.1184296050707081), ('career ITM%', 0.09570847429465025), ('last race was maiden', 0.0928412106484678)], 'neg': [('pace type last race    MISSING = ', -0.06105028849088322)]}",False,0.9052631578947369,5.0
3,2,6,Pedro's Fancy Man,0.5406,0.5279,0.181,0.9052631578947369,-0.07780642554628858,-0.08532549353070507,,,"{'pos': [('finish placement (last race)', 0.1184296050707081), ('last race was maiden', 0.0928412106484678), ('no data: won last race', 0.07757230899967031)], 'neg': [('trainer win% on surface', -0.07454478449969339), ('pace type last race    MISSING = ', -0.06105028849088322), ('trainer win% at track', -0.05742153205527924)]}",False,0.9052631578947369,2.0
3,3,7,A Notable Nature,0.49770000000000003,0.548,0.1663,0.9157894736842105,-0.3452747309306976,-0.08532549353070507,,,"{'pos': [('finish placement (last race)', 0.2565974799094108), ('last race was maiden', 0.0928412106484678), ('no data: finish placement (last race)', 0.07757230899967031)], 'neg': [('last race field size', -0.15881180360876593), ('post position', -0.07640087501696528), ('pace type last race    MISSING = ', -0.06105028849088322)]}",False,0.9157894736842105,4.0
3,4,1,Ajax the Great,0.3785,0.3961,0.111,0.49473684210526314,-0.30258270959086153,0.006000606865336433,,,"{'pos': [('pace type last race    MISSING = ', 0.08140038465451095), ('post position', 0.07640087581281035)], 'neg': [('last race was maiden', -0.12378828086462373), ('no data: finish placement (last race)', -0.10342974533289377), ('no data: won last race', -0.10342974533289377)]}",True,0.49473684210526314,6.0
3,5,2,Reportittourlawyer,0.34919999999999995,0.318,0.103,0.8631578947368421,-0.107322929868644,0.0245820089143427,,,"{'pos': [('last race was maiden', 0.0928412106484678), ('last race field size', 0.07940590180438295), ('no data: won last race', 0.07757230899967031)], 'neg': [('finish placement (last race)', -0.4342418942841026), ('career ITM%', -0.12255881876098669), ('closer last race', -0.10770416156188846)]}",False,0.8631578947368421,3.0
3,6,5,DQ-Conejo Dorado,0.298,0.2992,0.0868,0.5052631578947369,-0.24272513037439203,0.006000606865336433,,,"{'pos': [('pace type last race    MISSING = ', 0.08140038465451095)], 'neg': [('last race was maiden', -0.12378828086462373), ('no data: finish placement (last race)', -0.10342974533289377), ('no data: won last race', -0.10342974533289377)]}",True,0.5052631578947369,
3,7,4,Jubas Ridge,0.21939999999999998,0.23,0.0595,0.5052631578947369,-0.30258270959086153,0.006000606865336433,,,"{'pos': [('pace type last race    MISSING = ', 0.08140038465451095), ('jockey starts at other tracks', 0.058068437854267414), ('jockey home = CT', 0.05712336285381953)], 'neg': [('trainer home = MNR', -0.27212166508274804), ('jockey home = MNR', -0.1867934801463105), ('last race was maiden', -0.12378828086462373)]}",True,0.5052631578947369,7.0
4,1,3,Edy's Flame,0.6314,0.6347,0.2365,0.9263157894736842,-0.03033757078017907,0.14984491581741732,,,"{'pos': [('finish placement (last race)', 0.22452279604883937), ('career win% on surface', 0.2049180651224912), ('trainer win% on surface', 0.1738086619476013)], 'neg': [('career win%', -0.30964067390256916), ('won last race', -0.13813876730121577), ('trainer win% at other tracks', -0.05577203807932265)]}",False,0.9263157894736842,1.0
4,2,1,Wynsome Cat,0.5201,0.4992,0.1861,0.9263157894736842,0.02760951815421775,0.18247369588905765,,,"{'pos': [('career win%', 0.20074110503144582), ('career ITM%', 0.18820639842233183), ('closeness to winner (last race)', 0.11263248215092106)], 'neg': [('career win% on surface', -0.13383676647513573)]}",False,0.9263157894736842,2.0
4,3,6,Princess Blame,0.4183,0.39590000000000003,0.1329,0.9157894736842105,0.24065889556272702,-0.0012417506517364563,,,"{'pos': [('trainer win% on surface', 0.09115202325336899), ('trainer win% (1yr)', 0.08570028426223801), ('won last race', 0.08288326038072946)], 'neg': [('speed figure last race', -0.12034521806480081), ('no data: trainer win% off layoff', -0.08784524602072402), ('2nd-back off layoff pattern', -0.05971518240528111)]}",False,0.9157894736842105,8.0
4,4,5,Belle Ofthe Wood,0.4154,0.3918,0.132,0.9263157894736842,0.17889959434714786,0.04993556403406174,,,"{'pos': [('finish placement (last race)', 0.22452279604883937), ('last race field size', 0.18858901678540954), ('career win% on surface', 0.1145400424783739)], 'neg': [('career win%', -0.17347349097815556), ('won last race', -0.13813876730121577), ('career ITM%', -0.11279123501904656)]}",False,0.9263157894736842,6.0
4,5,7,Langleyswaterfall,0.3664,0.3523,0.1193,0.9263157894736842,-0.023553999147540416,0.22164319542336908,,,"{'pos': [('finish placement (last race)', 0.22452279604883937), ('career ITM%', 0.1128215954773712)], 'neg': [('won last race', -0.13813876730121577), ('post position', -0.0636673950571527), ('trainer win% on surface', -0.057210112335697415)]}",False,0.9263157894736842,4.0
4,6,2,Forever Hustlin,0.31479999999999997,0.3189,0.0948,0.9157894736842105,0.009001871549376927,0.10413469682043458,,,"{'pos': [('speed figure last race', 0.13550594857057235), ('won last race', 0.08288326038072946), ('pace progression last race', 0.07380853755582129)], 'neg': [('finish placement (last race)', -0.1899808239548489), ('closer last race', -0.10994799826109447), ('career ITM%', -0.06913778260828081)]}",False,0.9157894736842105,7.0
4,7,8,Yesto Love,0.22769999999999999,0.2776,0.0681,0.9368421052631579,-0.08662106056088126,-0.05830414237952897,,,"{'pos': [('career win%', 0.1150280193024572), ('won last race', 0.08288326038072946), ('speed figure last race', 0.07796156944852839)], 'neg': [('jockey win% on surface', -0.15019879500235844), ('starts at this track', -0.12118249344055348), ('career starts', -0.12004623785252438)]}",False,0.9368421052631579,3.0
4,8,4,Slow No Mo,0.10590000000000001,0.1296,0.0303,0.8947368421052632,-0.050036300504826325,-0.052543301316811286,,,"{'pos': [('career win%', 0.1267333323088953), ('won last race', 0.08288326038072946)], 'neg': [('finish placement (last race)', -0.466316578144674), ('career ITM%', -0.2662604241166823), ('speed figure last race', -0.147346811184196)]}",False,0.8947368421052632,5.0
5,1,10,Knight Sage,0.666,0.6436999999999999,0.2532,0.9263157894736842,-0.16328850756054158,0.11795064123502708,,,"{'pos': [('finish placement (last race)', 0.37996165467832743), ('career ITM%', 0.27461784544056755), ('avg finish placement (last 3)', 0.12562921349845907)], 'neg': [('closer last race', -0.0942411413666524), ('blinkers change', -0.09152156818701447), ('speed figure last race', -0.06805729636600746)]}",False,0.9263157894736842,1.0
5,2,7,Goldeck,0.6249,0.5844,0.2262,0.8736842105263158,0.0030207003160415136,0.024582008914342757,,,"{'pos': [('trainer win% on surface', 0.24828695406716775), ('trainer win% at track', 0.16872226861294118), ('trainer win% (1yr)', 0.1680346460019038)], 'neg': [('first-time blinkers', -0.1985078710144293), ('career ITM%', -0.057979923381661996)]}",False,0.8736842105263158,4.0
5,3,9,Brother Moses,0.47430000000000005,0.4709,0.1512,0.8421052631578947,-0.1447302729974207,0.024582008914342757,,,"{'pos': [('finish placement (last race)', 0.24179377983962475), ('career ITM%', 0.09378405485044247), ('first-time blinkers', 0.0661692903381431)], 'neg': [('blinkers change', -0.09152156818701447)]}",False,0.8421052631578947,2.0
5,4,1,Untangled,0.4503,0.4037,0.1496,0.8631578947368421,0.03404601213513325,0.024582008914342812,,,"{'pos': [('finish placement (last race)', 0.10362590951334186), ('post position', 0.08913435577262294), ('first-time blinkers', 0.0661692903381431)], 'neg': [('blinkers change', -0.09152156818701447)]}",False,0.8631578947368421,3.0
