race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
5,8,7,Rum N Coke,0.1505,0.16060000000000002,0.0417,0.8947368421052632,-0.006105044475148258,12/1,110.4,"{'pos': [('trouble in last trip', 0.07859147613538849)], 'neg': [('finish placement (last race)', -0.337743696557062), ('speed figure last race', -0.17678420336447542), ('jockey win% on surface', -0.17367895553918553)]}",False,0.8842105263157894,2.0
5,9,3,John's Notion,0.1408,0.1596,0.0382,0.9052631578947369,-0.08707332037279203,15/1,107.6,"{'pos': [('post position', 0.050933917252753855)], 'neg': [('finish placement (last race)', -0.337743696557062), ('career ITM%', -0.15593056689773185), ('speed figure last race', -0.14703818732980667)]}",False,0.8947368421052632,8.0
6,1,3,Maggie's Girl,0.7055,0.6966000000000001,0.2867,0.9368421052631579,0.11000757059967536,2/1,125.2,"{'pos': [('finish placement (last race)', 0.34541968596865175), ('career win% on surface', 0.2901106556739037), ('career ITM%', 0.2839744310658226)], 'neg': [('career win%', -0.4457196162490009), ('won last race', -0.16576652076145892), ('no data: trainer win% off layoff', -0.10248612035751135)]}",False,0.9368421052631579,2.0
6,2,5,Thelastsay,0.48829999999999996,0.5149,0.1591,0.9473684210526315,-0.04658916588285977,9/5,128.6,"{'pos': [('finish placement (last race)', 0.34541968596865175), ('trainer win% on surface', 0.1039342631276817), ('avg finish placement (last 3)', 0.07694789090385223)], 'neg': [('won last race', -0.16576652076145892), ('last race field size', -0.0794058990586515), ('closeness to winner (last race)', -0.0619156828600963)]}",False,0.9473684210526315,1.0
6,3,8,Redhotchiliphilly,0.4738,0.46309999999999996,0.1561,0.9368421052631579,0.10702656225321783,5/1,123.4,"{'pos': [('jockey win% on surface', 0.2904308384429115), ('jockey win% (90d)', 0.08252161972432634), ('speed figure last race', 0.06836715244331082)], 'neg': [('post position', -0.08913435971868805), ('last race field size', -0.0794058990586515), ('career win%', -0.07760773589680442)]}",False,0.9368421052631579,7.0
6,4,6,Coal Country,0.3545,0.3422,0.1065,0.9473684210526315,0.1252197999732504,10/1,121.2,"{'pos': [('finish placement (last race)', 0.06908393629124639), ('career ITM%', 0.0631087447045417), ('won last race', 0.055255506920486315)], 'neg': [('last race field size', -0.0794058990586515), ('trainer win% on surface', -0.07247977871780455), ('trainer win% (1yr)', -0.060791126913095045)]}",False,0.9473684210526315,5.0
6,5,4,Golden Circles,0.31410000000000005,0.3131,0.094,0.9368421052631579,0.06343687695182332,8/1,118.8,"{'pos': [('finish placement (last race)', 0.20725181112994906), ('career win%', 0.1321883679945408), ('speed figure last race', 0.05597298083914104)], 'neg': [('career ITM%', -0.09370591927352281), ('career win% on surface', -0.09346319835782245), ('jockey win% on surface', -0.0886897602663391)]}",False,0.9368421052631579,6.0
6,6,2,Party Timefor Me,0.3022,0.32089999999999996,0.0912,0.9052631578947369,-0.03016352137673073,6/1,119.9,"{'pos': [('jockey win% on surface', 0.09283074993183746), ('post position', 0.06366739853897488), ('won last race', 0.055255506920486315)], 'neg': [('finish placement (last race)', -0.20725181338615895), ('no data: closeness to winner (last race)', -0.08688974342223534), ('last race field size', -0.0794058990586515)]}",False,0.8947368421052632,3.0
6,7,7,Lil Knockout,0.2053,0.1733,0.0626,0.9052631578947369,0.29366199825385486,30/1,99.9,"{'pos': [('career win%', 0.333627609117476), ('closeness to winner (last race)', 0.2882104282475988), ('last race field size', 0.15881179903254686)], 'neg': [('finish placement (last race)', -0.621755437902267), ('career win% on surface', -0.22716411773743816), ('jockey win% on surface', -0.12901030607073166)]}",False,0.8842105263157894,8.0
6,8,1,Here'sa Quarter,0.1563,0.1759,0.0438,0.9368421052631579,-0.09648067934854754,20/1,110.5,"{'pos': [('post position', 0.08913435577262294), ('last race field size', 0.0794058972281639), ('won last race', 0.055255506920486315)], 'neg': [('purse change vs last', -0.4414366170116137), ('jockey win% on surface', -0.2001149200314921), ('career ITM%', -0.18674559321842032)]}",False,0.9368421052631579,4.0
