race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,actual
7,2,6,Lil Miss Honkytonk,0.6091,0.2254,0.9578947368421052,,,"{'pos': [('finish placement (last race)', 0.25659748055404213), ('jockey win% on surface', 0.10475410918177695), ('last race field size', 0.10209330127392802)], 'neg': [('speed figure last race', -0.08587392150308339), ('no data: trainer win% off layoff', -0.08366213906735621), ('career win%', -0.05553059925450839)]}",4.0
7,3,4,R Special,0.42480000000000007,0.134,0.9263157894736842,,,"{'pos': [('finish placement (last race)', 0.25659748055404213), ('career win% on surface', 0.10615939379871314), ('career ITM%', 0.07116270238922753)], 'neg': [('career win%', -0.15240214939719376), ('weight (lbs)', -0.12955362084587776), ('purse change vs last', -0.07654425562129724)]}",5.0
7,4,7,Diakonissa,0.3881,0.1253,0.9368421052631579,,,"{'pos': [('jockey win% on surface', 0.08774485948269298), ('career win% on surface', 0.06095708559102958), ('no data: won last race', 0.05171487266644688)], 'neg': [('finish placement (last race)', -0.15790614396206584), ('closer last race', -0.08975346796824038), ('career win%', -0.08429851273376365)]}",7.0
7,5,2,DQ-Oscor,0.3684,0.1112,0.5052631578947369,,,"{'pos': [('pace type last race    MISSING = ', 0.12210057698176643), ('starts at this track', 0.11662676315202074), ('career starts', 0.11570721631643574)], 'neg': [('no data: won last race', -0.1292871816661172), ('no data: finish placement (last race)', -0.1292871816661172), ('no data: career win% on surface', -0.0886813359506942)]}",
7,6,3,Symptomatic,0.3659,0.1121,0.8947368421052632,,,"{'pos': [('career win%', 0.13425854505738824), ('purse change vs last', 0.1204115089526749), ('class rating change vs last', 0.08281357998392944)], 'neg': [('finish placement (last race)', -0.15790614396206584), ('last race field size', -0.13612439681727034), ('career win% on surface', -0.11914585678148949)]}",3.0
7,7,5,Slewing,0.22310000000000002,0.0647,0.8736842105263158,,,"{'pos': [('career win%', 0.1077158891069647), ('shipping in today', 0.09115196019250502), ('trouble in last trip', 0.07578463770198175)], 'neg': [('purse change vs last', -0.18908914053667294), ('no data: finish placement (last race)', -0.1292871816661172), ('no data: won last race', -0.1292871816661172)]}",6.0
8,1,5,Rayof Sunshine,0.8490000000000001,0.3658,0.9368421052631579,,,"{'pos': [('finish placement (last race)', 0.2763357496774054), ('career ITM%', 0.22145345674814032), ('trainer win% on surface', 0.18621793155448954)], 'neg': [('career win%', -0.1912572430096741), ('won last race', -0.14734801845463016), ('closer last race', -0.08376990343702437)]}",2.0
8,2,8,Spotafreeone,0.8035000000000001,0.3008,0.9263157894736842,,,"{'pos': [('career win% on surface', 0.2706045007992217), ('jockey win% on surface', 0.2604765677302817), ('last race field size', 0.15881180360876593)], 'neg': [('career win%', -0.41355639923181375), ('finish placement (last race)', -0.2763357496774054), ('trainer win% at other tracks', -0.06119663353204061)]}",1.0
8,3,2,Wall Art,0.5521,0.1457,0.8947368421052632,,,"{'pos': [('finish placement (last race)', 0.2763357496774054), ('career win%', 0.07645012412351508), ('starts at this track', 0.0669692712124849)], 'neg': [('won last race', -0.14734801845463016), ('weight (lbs)', -0.14274890079580965), ('pace progression last race', -0.10793506299509745)]}",4.0
8,4,3,Dorado,0.3963,0.1005,0.9368421052631579,,,"{'pos': [('career ITM%', 0.1614964866573847), ('weight (lbs)', 0.07557294549342869), ('won last race', 0.0736740092273151)], 'neg': [('last race field size', -0.15881180360876593), ('starts at this track', -0.08610334655047798), ('jockey win% on surface', -0.08278778846684098)]}",3.0
8,5,9,No Timeto Boogie,0.23299999999999998,0.0518,0.9368421052631579,,,"{'pos': [('career win%', 0.26542999256641525), ('finish placement (last race)', 0.13816787483870266), ('won last race', 0.0736740092273151)], 'neg': [('career win% on surface', -0.18005796503999472), ('purse change vs last', -0.1679692199330609), ('career ITM%', -0.16744008099415122)]}",6.0
8,6,6,Battalion Leader,0.1661,0.0354,0.8315789473684211,,,"{'pos': [('career win%', 0.25822672694322557), ('last race was maiden', 0.18052457626090962), ('closeness to winner (last race)', 0.11327609410375673)], 'neg': [('finish placement (last race)', -0.414503624516108), ('career ITM%', -0.3042069257745651), ('speed figure last race', -0.18192877475097843)]}",5.0
9,1,6,Jane N Margo,0.6164000000000001,0.222,0.9368421052631579,,,"{'pos': [('class rating change vs last', 0.11999064395715008), ('jockey win% on surface', 0.11867000936559208), ('speed figure last race', 0.11833485230160667)], 'neg': [('last race field size', -0.09264021877178014), ('career ITM%', -0.07173022728050239), ('closeness to winner (last race)', -0.06951033144099691)]}",3.0
9,2,3,Starship Polaris,0.5953999999999999,0.2052,0.9473684210526315,,,"{'pos': [('finish placement (last race)', 0.20725181075391408), ('career ITM%', 0.12582187452689078), ('career win%', 0.0830519706290039)], 'neg': [('speed figure last race', -0.07200424599357541), ('jockey win% on surface', -0.05768612296779816)]}",2.0
9,3,5,Rio Oso,0.5861000000000001,0.2038,0.9368421052631579,,,"{'pos': [('last race field size', 0.22498338844575172), ('finish placement (last race)', 0.20725181075391408), ('weight (lbs)', 0.05877895631602096)], 'neg': [('jockey win% on surface', -0.09411063329324468), ('no data: trainer win% off layoff', -0.07808466312953247)]}",1.0
9,4,1,Poney Island,0.5844,0.1922,0.9052631578947369,,,"{'pos': [('finish placement (last race)', 0.20725181075391408), ('avg finish placement (last 3)', 0.07433061797212984), ('post position', 0.06366739664331614)], 'neg': [('no data: trainer win% off layoff', -0.07808466312953247)]}",4.0
9,5,8,Judy G,0.4075,0.1177,0.9263157894736842,,,"{'pos': [('jockey win% on surface', 0.08879808617835801), ('closeness to winner (last race)', 0.07980816012599432)], 'neg': [('purse change vs last', -0.1502674775539951), ('speed figure last race', -0.1255647857373724), ('last race field size', -0.09264021877178014)]}",6.0
9,6,7,Tangaray Cruiser,0.2102,0.0591,0.8631578947368421,,,"{'pos': [('blinkers change', 0.2033812626378099), ('speed figure last race', 0.09310385562383827)], 'neg': [('finish placement (last race)', -0.4835875634395993), ('first-time blinkers', -0.22056430112714367), ('career ITM%', -0.10716076782615375)]}",5.0
