fold,half_life_days,l2,alpha,beta,gamma,fund_loss,fit_seconds,log_loss_per_race,brier_score_per_race,ece_10bin,hit_rate_top1,hit_rate_top3,favorite_hit_rate,roi_edge20,n_bets_edge20,roi_edge30,n_bets_edge30,roi_edge40,n_bets_edge40,roi_edge50,n_bets_edge50,itm_hit_rate_top3,itm_hit_rate_top4,itm_precision_top3,itm_precision_top4,itm_recall_top3,itm_recall_top4,itm_full_sweep_top_3
fold1_val2024,547.875,0.1,0.19421653164454028,0.7918920043682911,-0.005980394361700999,11744.946401891166,1.0555842000758275,1.8614871171504128,2.127239720020532,0.2580182885219053,0.24806201550387597,0.6187455954897816,0.7407407407407407,3.078527993289998,4769,3.159036480089112,3591,3.5183877159309027,2605,3.831529541689674,1811,0.97467018469657,0.995778364116095,0.6177660510114336,0.5636763412489005,0.6189533861037818,0.7521987686895338,0.16517150395778363
fold2_val2025,547.875,0.1,0.12245028510269396,0.7892763536443989,-0.03460237674301912,14613.707889893612,1.3800331000238657,1.8595384757629934,2.1288086640905317,0.26259946949602125,0.24322925651198896,0.6110056925996205,0.7276853252647504,3.2763588067020843,4894,3.39772787318362,3785,3.543690010664771,2813,3.6494644595910417,2054,0.9731404958677686,0.993801652892562,0.6098484848484848,0.5648243801652892,0.6110537190082644,0.7542613636363636,0.15444214876033058
fold3_val2026Q1,547.875,0.1,0.17151525727268588,0.7356935460614407,-0.018197791624794426,16488.73732924089,1.2312664999626577,1.9041466892455614,2.1798747234679796,0.2569428238039673,0.22424242424242424,0.5927272727272728,0.6666666666666666,3.3044159544159544,1404,3.576344086021505,1116,3.8376896149358224,857,4.034841628959276,663,0.9836065573770492,0.9908925318761385,0.5938069216757741,0.5441712204007286,0.593351548269581,0.7249544626593807,0.12386156648451731
fold4_val2026Q2,547.875,0.1,0.1984387614957413,0.7084917365819539,-0.015743664526991264,17258.646965018263,1.377255899948068,1.799806897326897,2.092953990097854,0.2850277264325324,0.24179620034542315,0.6321243523316062,0.73,3.2367325702393344,961,3.4036662452591657,791,3.5437990580847725,637,3.475538160469667,511,0.9974160206718347,1.0,0.6304909560723514,0.5902239448751078,0.6324289405684754,0.7876830318690785,0.17571059431524547
fold1_val2024,547.875,1.0,0.1944433673712033,0.7918575930969193,-0.006002917014918171,11745.60046304302,1.0050379999447614,1.8614851559503465,2.1272417593801887,0.2580182885219053,0.24788583509513742,0.618569415081043,0.7407407407407407,3.0781551362683435,4770,3.1616861435726213,3594,3.520544269835186,2609,3.831529541689674,1811,0.97467018469657,0.995778364116095,0.6175901495162709,0.5635444151275285,0.6187774846086191,0.7520228671943711,0.16464379947229552
fold2_val2025,547.875,1.0,0.12303200478918824,0.7891418626532891,-0.0343993625743158,14614.650216201364,1.3891138999024406,1.8595339097959613,2.1288083433757814,0.26259946949602125,0.24322925651198896,0.6108331895808177,0.7276853252647504,3.27564862104188,4895,3.4029559250461863,3789,3.5483802064791745,2809,3.6472019464720193,2055,0.9731404958677686,0.993801652892562,0.609676308539945,0.5649535123966942,0.6108815426997244,0.7544335399449036,0.15392561983471073
fold3_val2026Q1,547.875,1.0,0.1715545074145033,0.7356846455191025,-0.018152511264746797,16489.128655922483,1.3703418000368401,1.9041480633008039,2.179868428063094,0.2569428238039673,0.22484848484848485,0.5927272727272728,0.6666666666666666,3.308256227758007,1405,3.5681574239713783,1118,3.8278362573099405,855,4.027259036144579,664,0.9836065573770492,0.9908925318761385,0.5938069216757741,0.5437158469945356,0.593351548269581,0.7243472981177899,0.12386156648451731
fold4_val2026Q2,547.875,1.0,0.19703077294897417,0.7088779295212492,-0.01605814953868493,17259.573028992134,1.4696412000339478,1.799805757619306,2.092949383185631,0.28502772643253244,0.24265975820379965,0.6321243523316062,0.73,3.2367325702393344,961,3.398106060606061,792,3.5437990580847725,637,3.4580896686159845,513,0.9974160206718347,1.0,0.6304909560723514,0.5895779500430663,0.6324289405684754,0.7868217054263565,0.17571059431524547
fold1_val2024,730.5,0.001,0.19519006573457345,0.7917774924725598,-0.0056875756119334955,13067.111949797221,1.0909030999755487,1.861480008079323,2.1272493953368583,0.2580182885219053,0.24806201550387597,0.6183932346723044,0.7407407407407407,3.082170542635659,4773,3.1698496659242763,3592,3.5432463545663855,2606,3.8235391400220506,1814,0.97467018469657,0.9963060686015831,0.6174142480211082,0.5638082673702726,0.6186015831134565,0.7523746701846966,0.16411609498680738
fold2_val2025,730.5,0.001,0.12369348325740108,0.789038575328572,-0.034141570672705894,16872.518641222574,1.376151799922809,1.8595289037737497,2.1288174356699967,0.2625994694960212,0.24322925651198896,0.6111781956184233,0.7276853252647504,3.276546233925291,4899,3.4045718816067656,3784,3.5419572953736655,2810,3.595133819951338,2055,0.9731404958677686,0.993801652892562,0.6100206611570248,0.5648243801652892,0.6112258953168044,0.7542613636363636,0.15444214876033058
fold3_val2026Q1,730.5,0.001,0.17020846946123686,0.7360141615606712,-0.019493335692122485,19649.80152382802,1.543435600004159,1.9041719834914246,2.179867702538226,0.2569428238039673,0.22484848484848485,0.5927272727272728,0.6666666666666666,3.3136331192005706,1401,3.580448430493274,1115,3.8278362573099405,855,4.121116138763198,663,0.9836065573770492,0.9908925318761385,0.5938069216757741,0.5441712204007286,0.593351548269581,0.7249544626593807,0.12386156648451731
fold4_val2026Q2,730.5,0.001,0.19839356563178726,0.7084148781955946,-0.015156173229302794,20623.4298807898,1.6484051999868825,1.799804669268228,2.092933597947701,0.2850277264325323,0.24265975820379965,0.6321243523316062,0.73,3.225964546402503,959,3.4092405063291142,790,3.5437990580847725,637,3.466796875,512,0.9974160206718347,1.0,0.6304909560723514,0.5895779500430663,0.6324289405684754,0.7868217054263565,0.17571059431524547
fold1_val2024,730.5,0.01,0.19516657414135344,0.7917828635553875,-0.00568544872784413,13067.115888296205,1.0411437000147998,1.8614801012101883,2.127249168595709,0.2580182885219053,0.24806201550387597,0.6183932346723044,0.7407407407407407,3.082170542635659,4773,3.1698496659242763,3592,3.5449904030710178,2605,3.8208815426997242,1815,0.97467018469657,0.9963060686015831,0.6174142480211082,0.5638082673702726,0.6186015831134565,0.7523746701846966,0.16411609498680738
