fold,half_life_days,l2,alpha,beta,gamma,fund_loss,fit_seconds,log_loss_per_race,brier_score_per_race,ece_10bin,hit_rate_top1,hit_rate_top3,favorite_hit_rate,roi_edge20,n_bets_edge20,roi_edge30,n_bets_edge30,roi_edge40,n_bets_edge40,roi_edge50,n_bets_edge50,itm_hit_rate_top3,itm_hit_rate_top4,itm_precision_top3,itm_precision_top4,itm_recall_top3,itm_recall_top4,itm_full_sweep_top_3
fold4_val2026Q2,365.25,1.0,0.1545628726659401,0.7072488547684266,-0.01571180424826406,12470.541291704918,1.6283378999942215,1.8002098917702931,2.0927482798431756,0.2850277264325324,0.2452504317789292,0.6364421416234888,0.73,3.234202294056309,959,3.3132911392405062,790,3.6020344287949917,639,3.5119460500963386,519,0.9948320413436692,1.0,0.6347975882859604,0.5915159345391904,0.6371662360034454,0.789405684754522,0.18087855297157623
fold1_val2024,547.875,0.001,0.10609086577066042,0.8013132358544874,-0.03573177337126036,11468.328356924625,1.3033575999943423,1.8626208186377387,2.1272615760504827,0.2580182885219052,0.24718111346018323,0.6168076109936576,0.7407407407407407,3.0692708333333334,4800,3.047383230163197,3554,3.298128235762644,2511,3.6199522102747914,1674,0.9730870712401055,0.995778364116095,0.6158311345646438,0.5624890061565523,0.617018469656992,0.7506156552330694,0.16517150395778363
fold2_val2025,547.875,0.001,0.03854405397502179,0.8076849847478433,-0.056818386736386284,14262.097806883814,1.7170667999962461,1.8599220651647228,2.1283141373943137,0.26259946949602125,0.24426427462480593,0.6108331895808177,0.7276853252647504,3.2682484010728285,4847,3.3718321226795798,3717,3.5174086138255514,2763,3.5662837162837158,2002,0.9726239669421488,0.9948347107438017,0.6096763085399448,0.5663739669421488,0.6108815426997246,0.7564135674931128,0.15289256198347106
fold3_val2026Q1,547.875,0.001,-0.010044840577804179,0.7816652340608913,-0.08780688057130712,16130.716679687677,1.8422199000051478,1.9050407815519754,2.1786090396191398,0.2569428238039674,0.22363636363636363,0.5933333333333334,0.6666666666666666,3.3091756272401427,1395,3.5325987144168964,1089,3.7602959309494457,811,3.8004815409309796,623,0.9799635701275046,0.9908925318761385,0.5944140862173649,0.5450819672131147,0.5939587128111719,0.7261687917425622,0.12750455373406194
fold4_val2026Q2,547.875,0.001,0.15698577028072555,0.7059891593893401,-0.016515497189465652,16919.364113026037,1.8477624000006472,1.800182167110419,2.0927251936757396,0.2850277264325324,0.24438687392055267,0.6364421416234888,0.73,3.231496881496881,962,3.2969735182849935,793,3.59484375,640,3.4656310679611644,515,0.9948320413436692,1.0,0.6347975882859604,0.5915159345391904,0.6371662360034454,0.789405684754522,0.18087855297157623
fold1_val2024,547.875,0.01,0.10644399780951252,0.8012838307312988,-0.035496845938446694,11468.42345507923,2.007791100004397,1.8626198998146635,2.1272651737305837,0.2580182885219053,0.24718111346018323,0.6168076109936576,0.7407407407407407,3.067576009995835,4802,3.046244725738397,3555,3.305774591796097,2511,3.6144391408114553,1676,0.9730870712401055,0.995778364116095,0.6158311345646438,0.5623570800351803,0.617018469656992,0.7504397537379067,0.16517150395778363
fold2_val2025,547.875,0.01,0.03843706691965099,0.8076864969056288,-0.05681536792982015,14262.143556907416,1.8309513999993214,1.859922086601569,2.1283146788930654,0.2625994694960212,0.24426427462480593,0.6108331895808177,0.7276853252647504,3.2658415841584163,4848,3.3718321226795798,3717,3.5174086138255514,2763,3.5640039940089867,2003,0.9726239669421488,0.9948347107438017,0.6096763085399448,0.5663739669421488,0.6108815426997246,0.7564135674931128,0.15289256198347106
fold3_val2026Q1,547.875,0.01,-0.010079656241107248,0.7816777262061133,-0.08781837613271307,16130.723939940839,1.3663976000025286,1.905040634676588,2.178608520544994,0.2569428238039673,0.22363636363636363,0.5933333333333334,0.6666666666666666,3.3091756272401427,1395,3.5325987144168964,1089,3.7602959309494457,811,3.8004815409309796,623,0.9799635701275046,0.9908925318761385,0.5944140862173649,0.5450819672131147,0.5939587128111719,0.7261687917425622,0.12750455373406194
fold4_val2026Q2,547.875,0.01,0.1539757916333103,0.7069312034987368,-0.01673062760517484,16918.674602682855,3.4002432999986922,1.800215451162099,2.0927181924935443,0.2850277264325323,0.2452504317789292,0.6364421416234888,0.73,3.2271028037383176,963,3.30239898989899,792,3.580721003134796,638,3.5206563706563703,518,0.9948320413436692,1.0,0.6347975882859604,0.5915159345391904,0.6371662360034454,0.789405684754522,0.18087855297157623
fold1_val2024,547.875,0.1,0.10631855539275847,0.8013726725478616,-0.03554288575561884,11468.535032771537,2.2954947000034736,1.862619752168323,2.1272577797824934,0.2580182885219053,0.24718111346018323,0.6164552501761804,0.7407407407407407,3.0692708333333334,4800,3.0485223754573605,3553,3.3032695374800634,2508,3.6144391408114553,1676,0.9730870712401055,0.995778364116095,0.6154793315743184,0.5623570800351803,0.6166666666666666,0.7504397537379067,0.16517150395778363
fold2_val2025,547.875,0.1,0.038933497591569284,0.807558313146072,-0.05667494447035211,14262.171198655322,2.037234300005366,1.8599210021267945,2.12831718832076,0.2625994694960212,0.24426427462480593,0.6108331895808177,0.7276853252647504,3.27061249742215,4849,3.3741857335127854,3715,3.5172039116262224,2761,3.561726546906188,2004,0.9726239669421488,0.9948347107438017,0.6096763085399448,0.5663739669421488,0.6108815426997246,0.7564135674931128,0.15289256198347106
fold3_val2026Q1,547.875,0.1,-0.008339491168229168,0.7810296532747393,-0.08728156414286087,16129.746239416318,2.120171800001117,1.905048435649035,2.1786368992065905,0.25694282380396727,0.22363636363636363,0.5933333333333334,0.6666666666666666,3.297634408602151,1395,3.528440366972477,1090,3.775709001233046,811,3.8004815409309796,623,0.9799635701275046,0.9908925318761385,0.5944140862173649,0.5450819672131147,0.5939587128111719,0.7261687917425622,0.12750455373406194
fold4_val2026Q2,547.875,0.1,0.15360859611246383,0.7068869276055343,-0.016963516784466802,16918.837840928813,2.9570548000046983,1.8002140034437366,2.0927146220929385,0.2850277264325323,0.2452504317789292,0.6364421416234888,0.73,3.2271028037383176,963,3.30239898989899,792,3.580721003134796,638,3.5206563706563703,518,0.9948320413436692,1.0,0.6347975882859604,0.5915159345391904,0.6371662360034454,0.789405684754522,0.18087855297157623
fold1_val2024,547.875,1.0,0.10751682190107843,0.8009401847829535,-0.03529600841159838,11470.032929256413,1.0273272999984329,1.8626061113534573,2.1272635520960685,0.2580182885219053,0.24718111346018323,0.6168076109936576,0.7407407407407407,3.070195914964569,4798,3.0675196850393696,3556,3.2998406374501994,2510,3.6061941631923764,1679,0.9730870712401055,0.995778364116095,0.6158311345646438,0.5624890061565523,0.617018469656992,0.7506156552330694,0.16464379947229552
fold2_val2025,547.875,1.0,0.03926685986555289,0.8074441027515947,-0.0565542688765538,14262.845176199105,2.0194816999937757,1.8599195838968443,2.1283183638295515,0.26259946949602125,0.24426427462480593,0.6108331895808177,0.7276853252647504,3.2688517831374977,4851,3.373008611410118,3716,3.5190441708906586,2762,3.561726546906188,2004,0.9726239669421488,0.9948347107438017,0.6096763085399448,0.5663739669421488,0.6108815426997246,0.7564135674931128,0.15289256198347106
fold3_val2026Q1,547.875,1.0,-0.013241156866430693,0.7828639899630956,-0.08872820651251367,16131.509715224405,1.3685576999996556,1.9050266177103594,2.1785593366652867,0.2569428238039673,0.22363636363636363,0.5933333333333334,0.6666666666666666,3.3196275071633234,1396,3.5409383624655013,1087,3.7602959309494457,811,3.8081993569131836,622,0.9799635701275046,0.9908925318761385,0.5944140862173649,0.5455373406193078,0.5939587128111719,0.726775956284153,0.12750455373406194
fold4_val2026Q2,547.875,1.0,0.14964174915531014,0.7084112093091455,-0.01871795106112836,16921.097327103198,1.7794870999932755,1.800216575428445,2.0927111035153256,0.2850277264325324,0.2452504317789292,0.6364421416234888,0.73,3.222717842323651,964,3.2915617128463475,794,3.63421875,640,3.5206563706563703,518,0.9948320413436692,1.0,0.6347975882859604,0.5915159345391904,0.6371662360034454,0.789405684754522,0.18087855297157623
fold1_val2024,730.5,0.001,0.10514971283545278,0.8018144017235261,-0.035722013458123564,12760.12554600146,1.2695841000022483,1.862631052967976,2.127270172589757,0.2580182885219053,0.24718111346018323,0.6171599718111346,0.7407407407407407,3.0667291276285655,4803,3.047383230163197,3554,3.306001589825119,2516,3.644650328750748,1673,0.9736147757255936,0.995778364116095,0.6161829375549691,0.5624890061565523,0.6173702726473175,0.7506156552330694,0.16569920844327177
fold2_val2025,730.5,0.001,0.039122426316369675,0.8074904353781774,-0.05667209725739857,16469.418737258176,1.3484203000043635,1.8599183212751962,2.1283160973849102,0.26259946949602125,0.24443677764360877,0.6108331895808177,0.7276853252647504,3.269692593356716,4847,3.3683064516129027,3720,3.5155684286748734,2762,3.561726546906187,2004,0.9726239669421488,0.9948347107438017,0.6096763085399448,0.5665030991735537,0.6108815426997246,0.7565857438016529,0.15289256198347106
fold3_val2026Q1,730.5,0.001,-0.011818728929070023,0.7823295173174271,-0.08832131020505318,19221.041961405972,1.3052982000008342,1.9050326401432054,2.1785822954446443,0.2569428238039673,0.22363636363636363,0.5933333333333334,0.6666666666666666,3.3091756272401427,1395,3.536764705882353,1088,3.7602959309494457,811,3.8004815409309796,623,0.9799635701275046,0.9908925318761385,0.5944140862173649,0.5455373406193078,0.5939587128111719,0.726775956284153,0.12750455373406194
